item_name,description,category,price,colour,shop_name
Sepatu Sneakers,Sepatu Sneakers adalah pilihan yang sempurna untuk gaya kasual Anda. Didesain dengan detail modern dan kenyamanan maksimal.,Sepatu,100000,Putih,Home Essentials
Tas Ransel Stylish,Tas Ransel Stylish memberikan gaya dan fungsi yang sempurna. Terbuat dari bahan berkualitas dan dilengkapi dengan banyak kantong.,Tas,200000,Merah,Sports World
Kemeja Flanel Modern,Kemeja Flanel Modern memberikan tampilan yang trendy dan nyaman. Cocok untuk berbagai kesempatan dan mudah dipadukan.,Kemeja,150000,Hijau,Gourmet Delights
Celana Jeans Slim Fit,Celana Jeans Slim Fit adalah pilihan yang tepat untuk penampilan yang kasual namun tetap stylish. Terbuat dari bahan denim berkualitas.,Celana,250000,Biru,Gadget Hub
Topi Fedora Elegan,Topi Fedora Elegan memberikan sentuhan klasik yang tak lekang oleh waktu. Cocok untuk melengkapi gaya retro atau modern.,Topi,50000,Abu-abu,Gourmet Delights
Kacamata Retro Vintage,Kacamata Retro Vintage menambahkan gaya yang unik dan klasik pada penampilan Anda. Terbuat dari bahan berkualitas tinggi.,Kacamata,80000,Cokelat,Outdoor Gear
Jam Tangan Mewah,Jam Tangan Mewah adalah aksesori yang sempurna untuk menunjukkan keanggunan dan kecanggihan. Didesain dengan detail yang memukau.,Jam Tangan,300000,Emas,Home Essentials
Dompet Kulit Asli,Dompet Kulit Asli memberikan gaya dan fungsi yang tak tertandingi. Terbuat dari kulit asli berkualitas tinggi.,Dompet,70000,Cokelat,Toy Universe
Perhiasan Emas Murni,Perhiasan Emas Murni adalah simbol kemewahan dan keindahan. Terbuat dari emas murni dengan desain yang elegan.,Perhiasan,500000,Emas,Fashion Outlet
Parfum Wangi Floral,Parfum Wangi Floral memberikan aroma yang segar dan feminin. Diciptakan dengan komposisi bunga-bungaan yang indah.,Parfum,120000,Merah,Shoe Emporium
Gelang Fashion Trendy,Gelang Fashion Trendy memberikan sentuhan gaya yang modern dan berkelas pada pergelangan tangan Anda. Didesain dengan detail yang menarik.,Gelang,90000,Hitam,Fashion House
Baju Renang Sporty,Baju Renang Sporty memberikan kenyamanan dan gaya yang tak terbantahkan di kolam renang. Terbuat dari bahan berkualitas dan tahan lama.,Baju Renang,60000,Biru,Fashion Outlet
Topi Baseball Classic,Topi Baseball Classic adalah aksesori yang sempurna untuk melengkapi penampilan santai Anda. Terbuat dari bahan berkualitas dan nyaman dipakai.,Topi,40000,Merah,Music Gallery
Kacamata Hitam Stylish,Kacamata Hitam Stylish memberikan perlindungan mata yang maksimal sambil tetap tampil modis. Didesain dengan gaya yang trendy.,Kacamata,70000,Hitam,Outdoor Gear
Jam Dinding Klasik Vintage,Jam Dinding Klasik Vintage memberikan sentuhan retro yang elegan pada ruangan Anda. Didesain dengan detail yang memukau.,Jam Dinding,200000,Kuning,Health Corner
Tas Selempang Chic,Tas Selempang Chic memberikan kenyamanan dan gaya yang tak tertandingi. Didesain dengan kompartemen yang cukup luas untuk keperluan sehari-hari.,Tas,150000,Cokelat,Kids Kingdom
Celana Panjang Casual,Celana Panjang Casual adalah pilihan yang nyaman dan stylish untuk berbagai kesempatan. Terbuat dari bahan berkualitas dan mudah dipadukan.,Celana,80000,Abu-abu,Pet Shop
Kaos Polos Basic,Kaos Polos Basic adalah item yang wajib dimiliki dalam koleksi pakaian Anda. Cocok untuk gaya santai atau bisa juga dipadukan dengan aksesori.,Kaos,30000,Putih,Sports World
Baju Koko Modern,Baju Koko Modern memberikan tampilan yang elegan dan klasik. Cocok untuk berbagai kesempatan formal.,Baju Koko,100000,Hijau,Tech Zone
Sepatu Formal Elegan,Sepatu Formal Elegan memberikan tampilan yang anggun dan berkelas pada setiap acara formal. Didesain dengan detail yang sempurna.,Sepatu,180000,Hitam,Food Paradise
Tas Makeup Portable,Tas Makeup Portable memudahkan Anda membawa dan menyimpan berbagai perlengkapan makeup dengan praktis. Didesain dengan kompartemen yang fungsional.,Tas Makeup,300000,Merah,Outdoor Gear
Jas Pria Slim Fit,Jas Pria Slim Fit memberikan tampilan yang modern dan berkelas pada setiap acara formal. Didesain dengan detail yang elegan.,Jas,250000,Biru,Kids Kingdom
Kalung Mutiara Mewah,Kalung Mutiara Mewah adalah aksesori yang mewah dan mempesona. Terbuat dari mutiara asli dengan desain yang elegan.,Kalung,350000,Putih,Food Paradise
Pashmina Syar'i Terbaru,Pashmina Syar'i Terbaru memberikan gaya yang modis dan elegan untuk penampilan hijab Anda. Terbuat dari bahan yang nyaman dan mudah diatur.,Pashmina,150000,Merah,Fashion House
Topi Trucker Trendy,Topi Trucker Trendy menambahkan sentuhan gaya yang sporty pada penampilan Anda. Cocok untuk gaya kasual atau acara santai.,Topi,60000,Abu-abu,Jewelry Emporium
Dompet Kartu Minimalis,Dompet Kartu Minimalis memberikan kemudahan dan gaya yang minimalis. Terbuat dari bahan berkualitas tinggi.,Dompet Kartu,50000,Hitam,Outdoor Gear
Anting Emas Cantik,Anting Emas Cantik memberikan sentuhan feminin dan elegan pada penampilan Anda. Terbuat dari emas dengan desain yang indah.,Anting,90000,Emas,Gift Emporium
Lipstik Matte Long-lasting,Lipstik Matte Long-lasting memberikan hasil akhir matte yang tahan lama. Dapat memberikan sentuhan warna yang intens dan merona.,Lipstik,40000,Merah,Home Essentials
